id,ket_waktu,nama_marketplace,jenis_barang,total_penjualan,status_promosi
242,02-01-13,Shopee,Telur Ayam,127.0,0
243,02-01-13,Shopee,Makanan Beku KemasanS,12.0,0
244,02-01-13,Shopee,Sayur,2473.0,0
245,02-01-13,Shopee,Buah,25.0,0
246,02-01-13,Shopee,Gadget dan Aksesoris Handphone,0.0,0
247,02-01-13,Shopee,IoT dan Smart Home,0.0,0
248,02-01-13,Shopee,Peralatan Portable,0.0,0
249,02-01-13,Shopee,Alat Elektronik Rumah,0.0,0
250,02-01-13,Shopee,Perawatan Kesehatan,0.0,0
251,02-01-13,Shopee,Fashion Wanita,0.0,0
252,02-01-13,Shopee,Tanaman Hias,0.0,0
253,02-01-13,Shopee,Perlengkapan Bayi,0.0,0
254,02-01-13,Shopee,Perlengkapan Camping,7.0,0
255,02-01-13,Shopee,Novel,0.0,0
256,02-01-13,Shopee,Daging,72.568,0
257,02-01-13,Shopee,Perlengkapan Ibadah,229.0,0
258,02-01-13,Shopee,Perlengkapan Petshop,0.0,0
259,02-01-13,Shopee,Voucher Game dan Layanan,0.0,0
260,02-01-13,Shopee,Daging Putih,11.446,0
261,02-01-13,Shopee,Kuliner,38.0,0
262,02-01-13,Shopee,Peralatan Olahraga,0.0,0
263,02-01-13,Shopee,Alat Tulis dan Kantor,0.0,0
264,02-01-13,Shopee,Hasil Laut,1.0,0
265,03-01-13,Lazada,Otomotif,4.0,0
266,03-01-13,Lazada,Perlengkapan Bayi,0.0,0
267,03-01-13,Lazada,Produk Kecantikan,0.0,0
268,03-01-13,Lazada,Minuman,632.0,0
269,03-01-13,Lazada,Buku dan Novel,0.0,0
270,03-01-13,Lazada,Roti,206.0,0
271,03-01-13,Lazada,Perlengkapan Kado,0.0,0
272,03-01-13,Lazada,Peralatan Rumah Tangga,842.0,0
273,03-01-13,Lazada,Kebutuhan Sehari-hari,114.0,0
274,03-01-13,Lazada,Makanan Jadi,139.0,0
275,03-01-13,Lazada,Telur Ayam,41.0,0
276,03-01-13,Lazada,Makanan Beku KemasanS,26.916,0
277,03-01-13,Lazada,Sayur,2006.0,0
278,03-01-13,Lazada,Buah,2.0,0
279,03-01-13,Lazada,Gadget dan Aksesoris Handphone,2.0,0
280,03-01-13,Lazada,IoT dan Smart Home,0.0,0
281,03-01-13,Lazada,Peralatan Portable,0.0,0
282,03-01-13,Lazada,Alat Elektronik Rumah,0.0,0
283,03-01-13,Lazada,Perawatan Kesehatan,0.0,0
284,03-01-13,Lazada,Fashion Wanita,0.0,0
285,03-01-13,Lazada,Tanaman Hias,0.0,0
286,03-01-13,Lazada,Perlengkapan Bayi,2.0,0
287,03-01-13,Lazada,Perlengkapan Camping,13.0,0
288,03-01-13,Lazada,Novel,0.0,0
289,03-01-13,Lazada,Daging,180.388,0
290,03-01-13,Lazada,Perlengkapan Ibadah,123.0,0
291,03-01-13,Lazada,Perlengkapan Petshop,0.0,0
292,03-01-13,Lazada,Voucher Game dan Layanan,0.0,0
293,03-01-13,Lazada,Daging Putih,97.86,0
294,03-01-13,Lazada,Kuliner,24.0,0
295,03-01-13,Lazada,Peralatan Olahraga,0.0,0
296,03-01-13,Lazada,Alat Tulis dan Kantor,0.0,0
297,03-01-13,Lazada,Hasil Laut,5.0,0
298,03-01-13,Tokopedia,Otomotif,1.0,0
299,03-01-13,Tokopedia,Perlengkapan Bayi,0.0,0
300,03-01-13,Tokopedia,Produk Kecantikan,0.0,0
301,03-01-13,Tokopedia,Minuman,817.0,0
302,03-01-13,Tokopedia,Buku dan Novel,0.0,0
303,03-01-13,Tokopedia,Roti,197.0,0
304,03-01-13,Tokopedia,Perlengkapan Kado,0.0,0
305,03-01-13,Tokopedia,Peralatan Rumah Tangga,951.0,0
306,03-01-13,Tokopedia,Kebutuhan Sehari-hari,154.0,0
307,03-01-13,Tokopedia,Makanan Jadi,262.0,0
308,03-01-13,Tokopedia,Telur Ayam,81.0,0
309,03-01-13,Tokopedia,Makanan Beku KemasanS,26.0,0
310,03-01-13,Tokopedia,Sayur,2462.0,0
311,03-01-13,Tokopedia,Buah,10.0,0
312,03-01-13,Tokopedia,Gadget dan Aksesoris Handphone,1.0,0
313,03-01-13,Tokopedia,IoT dan Smart Home,0.0,0
314,03-01-13,Tokopedia,Peralatan Portable,0.0,0
315,03-01-13,Tokopedia,Alat Elektronik Rumah,0.0,0
316,03-01-13,Tokopedia,Perawatan Kesehatan,0.0,0
317,03-01-13,Tokopedia,Fashion Wanita,0.0,0
318,03-01-13,Tokopedia,Tanaman Hias,0.0,0
319,03-01-13,Tokopedia,Perlengkapan Bayi,4.0,0
320,03-01-13,Tokopedia,Perlengkapan Camping,17.0,0
321,03-01-13,Tokopedia,Novel,0.0,0
322,03-01-13,Tokopedia,Daging,119.441,0
323,03-01-13,Tokopedia,Perlengkapan Ibadah,183.0,0
324,03-01-13,Tokopedia,Perlengkapan Petshop,0.0,0
325,03-01-13,Tokopedia,Voucher Game dan Layanan,0.0,0
326,03-01-13,Tokopedia,Daging Putih,173.8,0
327,03-01-13,Tokopedia,Kuliner,42.0,0
328,03-01-13,Tokopedia,Peralatan Olahraga,0.0,0
329,03-01-13,Tokopedia,Alat Tulis dan Kantor,0.0,0
330,03-01-13,Tokopedia,Hasil Laut,22.0,0
331,03-01-13,Blibli,Otomotif,4.0,0
332,03-01-13,Blibli,Perlengkapan Bayi,0.0,0
333,03-01-13,Blibli,Produk Kecantikan,0.0,0
334,03-01-13,Blibli,Minuman,247.0,0
335,03-01-13,Blibli,Buku dan Novel,0.0,0
336,03-01-13,Blibli,Roti,77.0,0
337,03-01-13,Blibli,Perlengkapan Kado,0.0,0
338,03-01-13,Blibli,Peralatan Rumah Tangga,451.0,0
339,03-01-13,Blibli,Kebutuhan Sehari-hari,58.0,0
340,03-01-13,Blibli,Makanan Jadi,76.0,0
341,03-01-13,Blibli,Telur Ayam,28.0,0
342,03-01-13,Blibli,Makanan Beku KemasanS,10.344.999,0
343,03-01-13,Blibli,Sayur,1327.0,0
344,03-01-13,Blibli,Buah,1.0,0
345,03-01-13,Blibli,Gadget dan Aksesoris Handphone,2.0,0
346,03-01-13,Blibli,IoT dan Smart Home,0.0,0
347,03-01-13,Blibli,Peralatan Portable,0.0,0
348,03-01-13,Blibli,Alat Elektronik Rumah,0.0,0
349,03-01-13,Blibli,Perawatan Kesehatan,0.0,0
350,03-01-13,Blibli,Fashion Wanita,0.0,0
351,03-01-13,Blibli,Tanaman Hias,0.0,0
352,03-01-13,Blibli,Perlengkapan Bayi,0.0,0
353,03-01-13,Blibli,Perlengkapan Camping,5.0,0
354,03-01-13,Blibli,Novel,0.0,0
355,03-01-13,Blibli,Daging,76.955,0
356,03-01-13,Blibli,Perlengkapan Ibadah,147.0,0
357,03-01-13,Blibli,Perlengkapan Petshop,0.0,0
358,03-01-13,Blibli,Voucher Game dan Layanan,0.0,0
359,03-01-13,Blibli,Daging Putih,61.399.002,0
360,03-01-13,Blibli,Kuliner,16.0,0
361,03-01-13,Blibli,Peralatan Olahraga,0.0,0
362,03-01-13,Blibli,Alat Tulis dan Kantor,0.0,0
363,03-01-13,Blibli,Hasil Laut,2.0,0
364,03-01-13,Shopee,Otomotif,1.0,0
365,03-01-13,Shopee,Perlengkapan Bayi,0.0,0
366,03-01-13,Shopee,Produk Kecantikan,1.0,0
367,03-01-13,Shopee,Minuman,474.0,0
368,03-01-13,Shopee,Buku dan Novel,0.0,0
369,03-01-13,Shopee,Roti,223.0,0
370,03-01-13,Shopee,Perlengkapan Kado,0.0,0
371,03-01-13,Shopee,Peralatan Rumah Tangga,866.0,0
372,03-01-13,Shopee,Kebutuhan Sehari-hari,139.0,0
373,03-01-13,Shopee,Makanan Jadi,150.0,0
374,03-01-13,Shopee,Telur Ayam,87.0,0
375,03-01-13,Shopee,Makanan Beku KemasanS,25.502,0
376,03-01-13,Shopee,Sayur,2124.0,0
377,03-01-13,Shopee,Buah,8.0,0
378,03-01-13,Shopee,Gadget dan Aksesoris Handphone,0.0,0
379,03-01-13,Shopee,IoT dan Smart Home,0.0,0
380,03-01-13,Shopee,Peralatan Portable,0.0,0
381,03-01-13,Shopee,Alat Elektronik Rumah,0.0,0
382,03-01-13,Shopee,Perawatan Kesehatan,0.0,0
383,03-01-13,Shopee,Fashion Wanita,0.0,0
384,03-01-13,Shopee,Tanaman Hias,0.0,0
385,03-01-13,Shopee,Perlengkapan Bayi,0.0,0
386,03-01-13,Shopee,Perlengkapan Camping,14.0,0
387,03-01-13,Shopee,Novel,0.0,0
388,03-01-13,Shopee,Daging,63.044,0
389,03-01-13,Shopee,Perlengkapan Ibadah,206.0,0
390,03-01-13,Shopee,Perlengkapan Petshop,0.0,0
391,03-01-13,Shopee,Voucher Game dan Layanan,0.0,0
392,03-01-13,Shopee,Daging Putih,83.282,0
393,03-01-13,Shopee,Kuliner,20.0,0
394,03-01-13,Shopee,Peralatan Olahraga,0.0,0
395,03-01-13,Shopee,Alat Tulis dan Kantor,0.0,0
396,03-01-13,Shopee,Hasil Laut,0.0,0
397,04-01-13,Lazada,Otomotif,5.0,0
398,04-01-13,Lazada,Perlengkapan Bayi,0.0,0
399,04-01-13,Lazada,Produk Kecantikan,0.0,0
400,04-01-13,Lazada,Minuman,445.0,0
401,04-01-13,Lazada,Buku dan Novel,0.0,0
402,04-01-13,Lazada,Roti,156.0,0
403,04-01-13,Lazada,Perlengkapan Kado,0.0,0
404,04-01-13,Lazada,Peralatan Rumah Tangga,759.0,0
405,04-01-13,Lazada,Kebutuhan Sehari-hari,99.0,0
406,04-01-13,Lazada,Makanan Jadi,106.0,0
407,04-01-13,Lazada,Telur Ayam,32.0,0
408,04-01-13,Lazada,Makanan Beku KemasanS,40.382,0
409,04-01-13,Lazada,Sayur,1684.0,0
410,04-01-13,Lazada,Buah,1.0,0
411,04-01-13,Lazada,Gadget dan Aksesoris Handphone,3.0,0
412,04-01-13,Lazada,IoT dan Smart Home,0.0,0
413,04-01-13,Lazada,Peralatan Portable,0.0,0
414,04-01-13,Lazada,Alat Elektronik Rumah,0.0,0
415,04-01-13,Lazada,Perawatan Kesehatan,0.0,0
416,04-01-13,Lazada,Fashion Wanita,0.0,0
417,04-01-13,Lazada,Tanaman Hias,0.0,0
418,04-01-13,Lazada,Perlengkapan Bayi,13.0,0
419,04-01-13,Lazada,Perlengkapan Camping,14.0,0
420,04-01-13,Lazada,Novel,0.0,0
421,04-01-13,Lazada,Daging,126.006.004,0
422,04-01-13,Lazada,Perlengkapan Ibadah,119.0,0
423,04-01-13,Lazada,Perlengkapan Petshop,0.0,0
424,04-01-13,Lazada,Voucher Game dan Layanan,0.0,0
425,04-01-13,Lazada,Daging Putih,67.665,0
426,04-01-13,Lazada,Kuliner,13.0,0
427,04-01-13,Lazada,Peralatan Olahraga,0.0,0
428,04-01-13,Lazada,Alat Tulis dan Kantor,0.0,0
429,04-01-13,Lazada,Hasil Laut,1.0,0
430,04-01-13,Tokopedia,Otomotif,1.0,0
431,04-01-13,Tokopedia,Perlengkapan Bayi,0.0,0
432,04-01-13,Tokopedia,Produk Kecantikan,1.0,0
433,04-01-13,Tokopedia,Minuman,1106.0,0
434,04-01-13,Tokopedia,Buku dan Novel,0.0,0
435,04-01-13,Tokopedia,Roti,114.0,0
436,04-01-13,Tokopedia,Perlengkapan Kado,0.0,0
437,04-01-13,Tokopedia,Peralatan Rumah Tangga,963.0,0
438,04-01-13,Tokopedia,Kebutuhan Sehari-hari,130.0,0
439,04-01-13,Tokopedia,Makanan Jadi,123.0,0
440,04-01-13,Tokopedia,Telur Ayam,57.0,0
441,04-01-13,Tokopedia,Makanan Beku KemasanS,23.0,0
442,04-01-13,Tokopedia,Sayur,2132.0,0
443,04-01-13,Tokopedia,Buah,9.0,0
444,04-01-13,Tokopedia,Gadget dan Aksesoris Handphone,0.0,0
445,04-01-13,Tokopedia,IoT dan Smart Home,0.0,0
446,04-01-13,Tokopedia,Peralatan Portable,0.0,0
447,04-01-13,Tokopedia,Alat Elektronik Rumah,0.0,0
448,04-01-13,Tokopedia,Perawatan Kesehatan,0.0,0
449,04-01-13,Tokopedia,Fashion Wanita,0.0,0
450,04-01-13,Tokopedia,Tanaman Hias,0.0,0
451,04-01-13,Tokopedia,Perlengkapan Bayi,8.0,0
452,04-01-13,Tokopedia,Perlengkapan Camping,19.0,0
453,04-01-13,Tokopedia,Novel,0.0,0
454,04-01-13,Tokopedia,Daging,273.56,0
455,04-01-13,Tokopedia,Perlengkapan Ibadah,144.0,0
456,04-01-13,Tokopedia,Perlengkapan Petshop,0.0,0
457,04-01-13,Tokopedia,Voucher Game dan Layanan,0.0,0
458,04-01-13,Tokopedia,Daging Putih,110.008.995,0
459,04-01-13,Tokopedia,Kuliner,21.0,0
460,04-01-13,Tokopedia,Peralatan Olahraga,0.0,0
461,04-01-13,Tokopedia,Alat Tulis dan Kantor,0.0,0
462,04-01-13,Tokopedia,Hasil Laut,5.0,0
463,04-01-13,Blibli,Otomotif,4.0,0
464,04-01-13,Blibli,Perlengkapan Bayi,0.0,0
465,04-01-13,Blibli,Produk Kecantikan,0.0,0
466,04-01-13,Blibli,Minuman,120.0,0
467,04-01-13,Blibli,Buku dan Novel,0.0,0
468,04-01-13,Blibli,Roti,51.0,0
469,04-01-13,Blibli,Perlengkapan Kado,0.0,0
470,04-01-13,Blibli,Peralatan Rumah Tangga,480.0,0
471,04-01-13,Blibli,Kebutuhan Sehari-hari,63.0,0
472,04-01-13,Blibli,Makanan Jadi,48.0,0
473,04-01-13,Blibli,Telur Ayam,14.0,0
474,04-01-13,Blibli,Makanan Beku KemasanS,26.334,0
475,04-01-13,Blibli,Sayur,984.0,0
